Gene1,Gene2,Correlation
AT1G01010,AT1G01030,-0.8
AT1G01010,AT1G01050,-0.6
AT1G01010,AT1G01060,-0.6
AT1G01010,AT1G01070,-0.8
AT1G01010,AT1G01080,-0.8
AT1G01010,AT1G01090,-1.0
AT1G01010,AT1G01100,-0.8
AT1G01010,AT1G01110,-0.6
AT1G01010,AT1G01130,-1.0
AT1G01010,AT1G01160,-0.8
AT1G01010,AT1G01170,0.8
AT1G01010,AT1G01180,-0.8
AT1G01010,AT1G01190,-0.6
AT1G01010,AT1G01200,0.6324555320336759
AT1G01010,AT1G01210,-0.8
AT1G01010,AT1G01230,-0.8
AT1G01010,AT1G01320,0.8
AT1G01010,AT1G01350,-0.8
AT1G01010,AT1G01355,0.7745966692414834
AT1G01010,AT1G01360,-0.8
AT1G01010,AT1G01370,-0.8
AT1G01010,AT1G01420,-0.6
AT1G01010,AT1G01430,-0.8
AT1G01010,AT1G01440,-0.6
AT1G01010,AT1G01448,-0.8
AT1G01010,AT1G01453,-0.8
AT1G01010,AT1G01480,-0.8
AT1G01010,AT1G01490,-0.8
AT1G01010,AT1G01500,-0.8
AT1G01010,AT1G01510,-0.8
AT1G01010,AT1G01540,-0.6
AT1G01010,AT1G01550,-0.6
AT1G01010,AT1G01570,-1.0
AT1G01010,AT1G01610,-0.6
AT1G01010,AT1G01620,-0.6
AT1G01010,AT1G01650,-0.8
AT1G01010,AT1G01660,-0.8
AT1G01010,AT1G01670,-0.8
AT1G01010,AT1G01710,-1.0
AT1G01010,AT1G01715,-0.8
AT1G01010,AT1G01720,-0.8
AT1G01010,AT1G01725,-0.6
AT1G01010,AT1G01730,-0.8
AT1G01010,AT1G01740,0.8
AT1G01010,AT1G01750,-0.6
AT1G01010,AT1G01760,-1.0
AT1G01010,AT1G01770,-0.6
AT1G01010,AT1G01780,-1.0
AT1G01010,AT1G01790,-1.0
AT1G01010,AT1G01820,-0.8
AT1G01010,AT1G01950,-0.6
AT1G01010,AT1G01970,0.8
AT1G01010,AT1G02000,-1.0
AT1G01010,AT1G02010,0.8
AT1G01030,AT1G01050,0.8
AT1G01030,AT1G01060,0.8
AT1G01030,AT1G01070,0.6
AT1G01030,AT1G01080,1.0
AT1G01030,AT1G01090,0.8
AT1G01030,AT1G01100,1.0
AT1G01030,AT1G01110,0.8
AT1G01030,AT1G01130,0.8
AT1G01030,AT1G01160,1.0
AT1G01030,AT1G01170,-0.6
AT1G01030,AT1G01190,0.8
AT1G01030,AT1G01220,-0.8
AT1G01030,AT1G01230,0.6
AT1G01030,AT1G01240,-0.8
AT1G01030,AT1G01250,0.7745966692414834
AT1G01030,AT1G01290,0.8
AT1G01030,AT1G01320,-1.0
AT1G01030,AT1G01350,1.0
AT1G01030,AT1G01355,-0.7745966692414834
AT1G01030,AT1G01360,1.0
AT1G01030,AT1G01370,0.6
AT1G01030,AT1G01420,0.8
AT1G01030,AT1G01430,1.0
AT1G01030,AT1G01440,0.8
AT1G01030,AT1G01453,0.6
AT1G01030,AT1G01480,1.0
AT1G01030,AT1G01490,1.0
AT1G01030,AT1G01500,1.0
AT1G01030,AT1G01510,1.0
AT1G01030,AT1G01540,0.8
AT1G01030,AT1G01550,0.8
AT1G01030,AT1G01570,0.8
